%Temp,%Salinity,%TA,%DIC
20.2,36.6689,2399.6,2092.17
23.5,37.0113,2396.21,2071.06
26.7,36.9525,2365.08,2056.65
28.2,36.2847,2320.05,2000.12
30.3,36.1562,2289.79,2010.82
28.9,36.4378,2268.61,1961.91
25,36.0901,2255.41,1988.31
22.3,36.1435,2246.37,1989.54
20.5,36.2685,2318.49,2024.64
15.4,36.4057,2368.96,2132.92
15.3,36.4694,2375.01,2091.05
17.1,36.3424,2379.57,2086.08
20.3,36.4321,2395.64,2083.35
22.5,36.9204,2403.96,2079.12
26,36.9033,2369.46,2053.63
29,36.9022,2338.27,2019.98
29.8,36.7843,2296.27,2050.43
28.8,36.8327,2282.25,1975.44
26.5,36.3191,2254.36,1963.4
26.2,36.7517,2350.17,1977.77
21.9,36.8152,2308.85,2053.12
17.5,36.7801,2333.89,2052.09
15.9,36.7239,2394.78,2095.03
17.6,36.507,2379.68,2090.9
18.5,36.705,2398.58,2101.06
20.5,36.6613,2381.62,2086.6
22.6,36.9279,2388.01,2078.87
29.4,37.2019,2315.75,2018.6
29.8,36.936,2282.75,1980.46
28,36.7483,2265.07,1986.56
25.1,36.7452,2258.43,1987.97
22.4,36.5738,2302.38,2018.79
20.6,36.5982,2332.16,2050.81
17.78,36.49446106,2354.35,2064.05
18.06,36.49723816,2358.62,2068.16
19.54,36.70953369,2376.99,2076.97
30.3,36.4792,2322.35,1990.93
29.4,36.6974,2293.18,1993.18
25.5,36.2005,2324.65,1999.6
25.7,36.6064,2327.38,2000.06
26.2,36.4815,2314.97,2001.16
25.31,36.5581,2298.5,2001.29
26.8,36.267,2313.46,2003.5
28,36.3447,2321.59,2007.8
28.4,36.563,2327.89,2010.35
27.9,36.4642,2323.68,2010.41
28.5,36.4509,2296.16,2012.54
24.1,36.7626,2358.24,2013.9
28,36.8619,2325.29,2014.65
29,36.7059,2323.7,2015.9
25,36.3689,2318.17,2016.85
28.8,36.9912,2328.42,2022.22
27.9,36.5725,2304.67,2022.75
21.9,36.5581,2352.57,2027.2
22.8,36.3607,2324.81,2029.76
25.5,36.8504,2359.58,2033.56
27.9,36.3447,2356.9,2041.04
22.7,36.5373,2355.6,2042.76
21.05,36.57482,2375.06,2054.2
25.2,36.9483,2356.77,2055.42
20.8,36.6438,2375.59,2057.7
25.4,36.71621,2331.82,2060.1
19.05,36.64056396,2379.33,2063.3
21.4,36.51045,2361.37,2063.5
21.9,36.6969,2385.77,2066.69
19.07,36.65376282,2385.17,2068.77
20,36.674,2371.67,2069.47
20.2,36.68716,2382.12,2069.9
19,36.7333,2393.74,2071.57
20,36.6214,2391.28,2072.74
19.6,36.6717,2383.62,2072.8
19.9,36.8161,2390.51,2073.11
21.7,36.797,2384.58,2073.76
20.4,36.6755,2398.6,2074
19.44,36.78144073,2385.69,2076.04
18.45,36.5563,2378,2076.85
17.9,36.6162,2401.86,2077.2
20.3,36.7491,2399,2078.24
18.2,36.7154,2390.54,2079.19
22,36.839,2377.62,2079.21
19.05,36.7495,2399.32,2081.11
17.3,36.6961,2403.98,2098.29
22.7,36.6803,2374.73,2099.99
20.4,36.7217,2384.29,2115.37
17.2,36.7586,2392.31,2142.97
18.4,36.6934,2435.9,2155.62
